name,channel_url,enabled,channel_id
newgamesdaily,https://www.youtube.com/@newgamesdaily/videos,1,UCxqmlztVA1plOoXqYigJy9g
MaryVerGamer,https://www.youtube.com/@MaryVerGamer/videos,1,UCPZxOMzbUQEvCJNHMpPUacA
adeptless,https://www.youtube.com/@adeptless/videos,1,UCh62rgVkP6IicMNdi8gRqzg
musthavegames_androidgameplay,https://www.youtube.com/@musthavegames_androidgameplay/videos,1,UCDIREjJsnYFFAQnl-BNqUVA
TwinsGaming96,https://www.youtube.com/@TwinsGaming96/videos,1,UC2n_LLBW99CTLmhRWofGeHA
ZyMobileGameplay,https://www.youtube.com/@ZyMobileGameplay/videos,1,UC_a0kACyJBpolI86S2b6HiQ
fyxofficial,https://www.youtube.com/@fyxofficial/videos,1,UCNZtN17EgE_CborobGd4SBQ
AetherFyre,https://www.youtube.com/@AetherFyre/videos,1,UCINn3KOvHKGgHiUrv7P161Q
SniperGame-b2u,https://www.youtube.com/@SniperGame-b2u/videos,1,UClWCaH0HZRnXSUIs0mmhC7g
